No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
114,SIVB,SVB Financial Group,Financial,Regional - Pacific Banks,USA,11.15B,10.86,216.19,0.86%,"674,100"
115,SBAC,SBA Communications Corporation,Technology,Diversified Communication Services,USA,26.47B,788.81,231.91,-0.76%,"850,737"
116,CTAS,Cintas Corporation,Services,Business Services,USA,24.33B,30.79,232.38,-0.11%,"891,690"
117,BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - Major,USA,45.56B,10.25,239.09,1.75%,"3,067,686"
118,ABMD,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,11.75B,45.63,256.04,-1.65%,"653,721"
119,INTU,Intuit Inc.,Technology,Application Software,USA,69.13B,41.87,261.51,-1.93%,"1,845,272"
120,COST,Costco Wholesale Corporation,Services,"Discount, Variety Stores",USA,117.58B,34.27,266.13,-0.46%,"2,943,549"
121,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostic Substances,USA,23.47B,61.52,273.93,0.38%,"555,952"
122,AVGO,Broadcom Inc.,Technology,Semiconductor - Broad Line,Singapore,111.08B,33.46,273.99,-1.81%,"4,497,657"
123,ALGN,"Align Technology, Inc.",Healthcare,Medical Appliances & Equipment,USA,23.65B,61.14,283.56,-4.10%,"1,498,173"
124,ADBE,Adobe Inc.,Technology,Application Software,USA,147.41B,55.24,299.33,-0.92%,"3,970,046"
125,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,34.52B,15.59,320.26,-0.07%,"1,452,977"
126,ULTA,"Ulta Beauty, Inc.",Services,"Specialty Retail, Other",USA,20.95B,30.91,355.81,-0.71%,"726,552"
127,ILMN,"Illumina, Inc.",Healthcare,Medical Instruments & Supplies,USA,53.15B,62.69,361.56,0.83%,"1,571,529"
128,NFLX,"Netflix, Inc.",Services,CATV Systems,USA,159.68B,134.90,369.21,1.10%,"7,335,195"
129,ORLY,"O'Reilly Automotive, Inc.",Services,Auto Parts Stores,USA,29.42B,22.75,376.27,0.11%,"856,051"
130,CHTR,"Charter Communications, Inc.",Services,CATV Systems,USA,89.71B,69.73,394.69,-1.02%,"1,383,343"
131,EQIX,"Equinix, Inc. (REIT)",Technology,Internet Software & Services,USA,42.74B,99.24,508.09,-0.06%,"768,002"
132,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,61.54B,55.21,527.23,-1.09%,"1,109,199"
133,GOOG,Alphabet Inc.,Technology,Internet Information Providers,USA,763.90B,28.14,1121.88,0.94%,"1,887,698"
134,GOOGL,Alphabet Inc.,Technology,Internet Information Providers,USA,772.22B,28.22,1125.37,1.09%,"2,527,851"
135,BKNG,Booking Holdings Inc.,Services,Business Services,USA,80.58B,21.75,1880.00,1.00%,"739,631"
136,AMZN,"Amazon.com, Inc.",Services,Catalog & Mail Order Houses,USA,944.39B,80.80,1911.30,-0.36%,"3,904,496"
