date_time,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,has_tweets,num_tweets,case_ratio,compound_score,pos,neu,neg,sentiment_class,pred_classes,pred_classes_int,total_favorite_count,total_retweet_count
2018-02-09 11:30:00,104.82,110.32428571428562,113.35727891156459,111.9642135258113,111.11190713181242,-0.8523063939989157,3.0228719719668056,119.40302285549822,107.31153496763099,105.12941696894444,97.82,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-09 12:30:00,103.75,110.10142857142849,113.29285714285713,111.87444070038912,110.93868578753448,-0.9357549128546624,3.1294218261680005,119.55170079519311,107.03401349052113,104.2098056563148,96.75,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-09 13:30:00,103.34,109.86877551020399,113.22496598639454,111.781168124425,110.75989318076894,-1.0212749436560389,3.2396548577178135,119.70427570183016,106.7456562709589,103.62993521877159,96.34,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-09 14:30:00,104.95,109.6748979591836,113.16843537414965,111.70651054929182,110.6231898118097,-1.08332073748214,3.3130185537240138,119.7944724815977,106.54239826670162,104.5099784062572,97.95,1,3.0,0.06887,-0.2769,0.056,0.872,0.071,0,neg,0,330946.0,76930.0
2018-02-09 15:30:00,105.28,109.48714285714279,113.11401360544217,111.63627546131876,110.4974676985906,-1.1388077627281632,3.3780678348771707,119.87014927519651,106.35787793568781,105.02332613541904,98.28,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-12 09:30:00,107.03,109.34122448979583,113.06911564625848,111.58593365299649,110.41588022332964,-1.1700534296668224,3.4155457852761115,119.9002072168107,106.23802407570628,106.36110871180635,100.03,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-12 10:30:00,106.39,109.17775510204076,113.01863945578228,111.52914749285236,110.32115362983956,-1.2079938630127884,3.4602435761639905,119.93912660811026,106.0981523034543,106.38036957060213,99.39,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-12 11:30:00,106.76,109.0218367346938,112.97040816326526,111.47702566232746,110.23736177972569,-1.239663882601775,3.498703012517102,119.96781418829949,105.97300213823105,106.63345652353405,99.76,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-12 12:30:00,107.53,108.87142857142851,112.92693877551015,111.43388876984146,110.17365914961451,-1.2602296202269656,3.5270037973101465,119.98094637013044,105.87293118088988,107.23115217451135,100.53,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-12 13:30:00,107.55,108.72040816326523,112.88374149659859,111.39144189803841,110.11192599315298,-1.2795159048854146,3.554263813928954,119.9922691244565,105.77521386874069,107.44371739150377,100.55,1,2.0,0.0436,0.0856,0.185,0.621,0.193,2,no_change,1,226553.0,47300.0
2018-02-12 14:30:00,107.85,108.58224489795914,112.84163265306115,111.35273761499836,110.0587042050788,-1.2940334099195638,3.5776575759484945,119.99694780495814,105.68631750116415,107.71457246383459,100.85,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-12 15:30:00,107.9,108.44857142857137,112.80027210884347,111.31500277767464,110.0079111649593,-1.3070916127153538,3.5998768649735555,120.00002583879059,105.60051837889637,107.8381908212782,100.9,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-13 09:30:00,106.78,108.30408163265301,112.75129251700676,111.26543990578578,109.93196031401907,-1.3334795917667035,3.631729592848564,120.01475170270388,105.48783333130963,107.1327302737594,99.78,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-13 10:30:00,106.91,108.16897959183669,112.70319727891149,111.21783946965536,109.86085536545393,-1.356984104201416,3.66113656682694,120.02547041256538,105.38092414525762,106.98424342458648,99.91,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
2018-02-13 11:30:00,107.09,108.03857142857142,112.6563265306122,111.17272646998545,109.79565876861973,-1.377067701365732,3.688380519014224,120.03308756864064,105.27956549258373,107.05474780819547,100.09,1,2.0,0.03731,0.9291,0.171,0.806,0.022,2,pos,2,213186.0,45562.0
2018-02-13 12:30:00,107.18,107.91285714285713,112.61006802721084,111.12909011512077,109.73411385641691,-1.3949762587038634,3.713973723952704,120.03801547511624,105.18212057930543,107.1382492693985,100.18,0,0.0,0.0,0.0,0.0,0.0,0.0,1,neg,0,0.0,0.0
