date_time_index,Date,Time,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,date_time_index,filled_timebin,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum
2017-02-07 09:30:00,02/07/2017,09:30,97.27,97.27,97.26,97.26,97.43,97.43,97.34,97.34,2017-02-07 09:30:00,False,97.26,96.77306122448968,96.73258503401357,96.7609913974175,96.8385534763272,0.07756207890970757,0.4516671129094322,97.63591925983243,95.8292508081947,97.21117202419009,90.26
2017-02-07 10:30:00,02/07/2017,10:30,97.26,97.27,97.26,97.26,97.27,97.28,97.27,97.27,2017-02-07 10:30:00,False,97.26,96.77387755102029,96.7355102040816,96.76658127958137,96.84847303680972,0.08189175722834818,0.4538881868097733,97.64328657770115,95.82773383046207,97.24372400806335,90.26
2017-02-07 11:30:00,02/07/2017,11:30,97.09,97.09,97.09,97.09,97.1,97.1,97.1,97.1,2017-02-07 11:30:00,False,97.09,96.77326530612234,96.7363945578231,96.77020321933942,96.85415779906221,0.08395457972278564,0.4544534173382317,97.64530139249956,95.82748772314665,97.14124133602111,90.09
2017-02-07 12:30:00,02/07/2017,12:30,96.97,96.97,96.97,96.97,96.98,96.98,96.98,96.98,2017-02-07 12:30:00,False,96.97,96.7699999999999,96.73714285714283,96.77244012325384,96.85688432914881,0.08444420589496815,0.45331278040192113,97.64376841794667,95.83051729633898,97.02708044534036,89.97
2017-02-07 13:30:00,02/07/2017,13:30,96.95,96.95,96.94,96.94,96.96,96.96,96.95,96.95,2017-02-07 13:30:00,False,96.94,96.76510204081622,96.73768707482989,96.77431560552499,96.85884057436255,0.084524968837556,0.4527473459902426,97.64318176681037,95.83219238284941,96.96902681511345,89.94
2017-02-07 14:30:00,02/07/2017,14:30,96.98,96.98,96.98,96.98,96.99,96.99,96.99,96.99,2017-02-07 14:30:00,False,96.98,96.76142857142845,96.73918367346936,96.77661720451425,96.86169221332985,0.08507500881559338,0.4532363637650086,97.64565640099937,95.83271094593934,96.97634227170448,89.98
2017-02-07 15:30:00,02/07/2017,15:30,97.02,97.02,97.0,97.0,97.03,97.03,97.01,97.01,2017-02-07 15:30:00,False,97.0,96.75938775510191,96.7406802721088,96.77911619558503,96.86494743819947,0.08583124261443231,0.453606559240379,97.64789339058956,95.83346715362805,96.99211409056817,90.0
2017-02-08 09:30:00,02/08/2017,09:30,96.81,96.81,96.74,96.76,96.85,96.86,96.83,96.84,2017-02-08 09:30:00,False,96.76,96.75979591836723,96.7415646258503,96.77890239721843,96.8624774020813,0.0835750048628654,0.45344774353301903,97.64846011291634,95.83466913878426,96.83737136352272,89.76
2017-02-08 10:30:00,02/08/2017,10:30,96.74,96.76,96.73,96.76,96.76,96.76,96.74,96.76,2017-02-08 10:30:00,False,96.76,96.76857142857132,96.7415646258503,96.77869104393899,96.86006551630754,0.08137447236855166,0.45344774353301903,97.64846011291634,95.83466913878426,96.78579045450756,89.76
2017-02-08 11:30:00,02/08/2017,11:30,96.96,96.97,96.95,96.97,96.97,96.98,96.96,96.98,2017-02-08 11:30:00,False,96.97,96.7842857142856,96.7415646258503,96.78082958618697,96.86265289384522,0.08182330765825441,0.45331853337698413,97.64820169260427,95.83492755909633,96.90859681816919,89.97
